country,cases,deaths,category,asof
Aruba,3.0,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Andorra,4.0,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
United Arab Emirates,16.0,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Argentina,1149.0,2,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Australia,334.0,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Austria,348.0,1,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Burundi,9.0,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Belgium,810.0,2,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Benin,3.0,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Bulgaria,7.0,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Bahrain,2.0,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Bahamas,3.0,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Bosnia and Herzegovina,9.0,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Bermuda,1.0,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Bolivia,265.0,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Brazil,11212.0,16,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Barbados,1.0,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Central African Republic,75.0,1,Has historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Canada,1557.0,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Switzerland,579.0,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Chile,1449.0,3,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Cameroon,50.0,5,Has historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Democratic Republic of the Congo,3104.0,10,Has historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Republic of the Congo,45.0,2,Has historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
